plot,treatment,date,interval,exp_week,gr_mass
102,reference,1999-08-03,1,5,0.781
102,reference,1999-08-13,2,7,0.791
102,reference,1999-08-25,3,8,1.06
102,reference,1999-09-02,4,10,0.889
102,reference,1999-11-01,9,18,0.892
102,reference,1999-11-11,10,20,0.727
102,reference,1999-11-21,11,21,0.696
102,reference,1999-11-30,12,22,0.803
102,reference,1999-12-13,13,24,0.704
102,reference,1999-12-25,14,26,0.463
102,reference,2000-01-09,15,28,0.605
102,reference,2000-01-22,16,30,0.509
102,reference,2000-02-05,17,32,0.493
102,reference,2000-02-20,18,34,0.533
102,reference,2000-03-04,19,36,0.761
102,reference,2000-03-18,20,38,0.932
102,reference,2000-04-03,21,40,0.477
102,reference,2000-04-16,22,42,0.57
102,reference,2000-04-29,23,44,0.997
102,reference,2000-05-13,24,46,0.724
102,reference,2000-05-26,25,48,0.668
102,reference,2000-06-09,26,50,1.004
102,reference,2000-06-25,27,52,1.402
102,reference,2000-07-09,28,54,1.051
102,reference,2000-07-23,29,56,1.124
102,reference,2000-08-05,30,58,1.534
102,reference,2000-09-14,32,64,0.73
102,reference,2000-09-30,33,66,0.893
102,reference,2000-10-14,34,68,0.773
102,reference,2000-10-28,35,70,0.937
102,reference,2000-11-12,36,72,0.779
102,reference,2000-11-25,37,74,0.46
104,reference,1999-08-03,1,5,1.157
104,reference,1999-08-13,2,7,1.607
104,reference,1999-08-25,3,8,1.102
104,reference,1999-09-02,4,10,0.942
104,reference,1999-11-01,9,18,1.053
104,reference,1999-11-11,10,20,1.085
104,reference,1999-11-21,11,21,0.882
104,reference,1999-11-30,12,22,0.854
104,reference,1999-12-13,13,24,0.688
104,reference,1999-12-25,14,26,0.973
104,reference,2000-01-09,15,28,0.435
104,reference,2000-01-22,16,30,0.847
104,reference,2000-02-05,17,32,0.627
104,reference,2000-02-20,18,34,0.472
104,reference,2000-03-04,19,36,0.708
104,reference,2000-03-18,20,38,0.854
104,reference,2000-04-03,21,40,0.92
104,reference,2000-04-16,22,42,0.677
104,reference,2000-04-29,23,44,0.746
104,reference,2000-05-13,24,46,0.953
104,reference,2000-05-26,25,48,0.939
104,reference,2000-06-09,26,50,1.459
104,reference,2000-06-25,27,52,1.624
104,reference,2000-07-09,28,54,1.496
104,reference,2000-07-23,29,56,1.687
104,reference,2000-08-05,30,58,1.502
104,reference,2000-09-14,32,64,1.319
104,reference,2000-09-30,33,66,1.025
104,reference,2000-10-14,34,68,1.235
104,reference,2000-10-28,35,70,0.539
104,reference,2000-11-12,36,72,1.131
104,reference,2000-11-25,37,74,1.335
106,reference,1999-08-03,1,5,0.724
106,reference,1999-08-13,2,7,1.579
106,reference,1999-08-25,3,8,1.375
106,reference,1999-09-02,4,10,0.855
106,reference,1999-11-01,9,18,0.818
106,reference,1999-11-11,10,20,0.486
106,reference,1999-11-21,11,21,0.695
106,reference,1999-11-30,12,22,0.402
106,reference,1999-12-13,13,24,0.579
106,reference,1999-12-25,14,26,0.512
106,reference,2000-01-09,15,28,0.395
106,reference,2000-01-22,16,30,0.463
106,reference,2000-02-05,17,32,0.663
106,reference,2000-02-20,18,34,0.465
106,reference,2000-03-04,19,36,0.82
106,reference,2000-03-18,20,38,0.651
106,reference,2000-04-03,21,40,0.685
106,reference,2000-04-16,22,42,0.486
106,reference,2000-04-29,23,44,0.822
106,reference,2000-05-13,24,46,0.824
106,reference,2000-05-26,25,48,0.863
106,reference,2000-06-09,26,50,0.887
106,reference,2000-06-25,27,52,1.141
106,reference,2000-07-09,28,54,0.781
106,reference,2000-07-23,29,56,1.027
106,reference,2000-08-05,30,58,1.426
106,reference,2000-09-14,32,64,1.384
106,reference,2000-09-30,33,66,0.999
106,reference,2000-10-14,34,68,0.983
106,reference,2000-10-28,35,70,0.97
106,reference,2000-11-12,36,72,0.645
106,reference,2000-11-25,37,74,0.62
108,reference,1999-08-03,1,5,1.015
108,reference,1999-08-13,2,7,1.365
108,reference,1999-08-25,3,8,1.357
108,reference,1999-09-02,4,10,0.798
108,reference,1999-11-01,9,18,0.907
108,reference,1999-11-11,10,20,0.96
108,reference,1999-11-21,11,21,0.659
108,reference,1999-11-30,12,22,0.565
108,reference,1999-12-13,13,24,0.783
108,reference,1999-12-25,14,26,0.695
108,reference,2000-01-09,15,28,0.602
108,reference,2000-01-22,16,30,0.614
108,reference,2000-02-05,17,32,0.579
108,reference,2000-02-20,18,34,0.476
108,reference,2000-03-04,19,36,0.832
108,reference,2000-03-18,20,38,0.714
108,reference,2000-04-03,21,40,0.797
108,reference,2000-04-16,22,42,0.665
108,reference,2000-04-29,23,44,0.869
108,reference,2000-05-13,24,46,0.915
108,reference,2000-05-26,25,48,1.218
108,reference,2000-06-09,26,50,1.174
108,reference,2000-06-25,27,52,1.189
108,reference,2000-07-09,28,54,0.822
108,reference,2000-07-23,29,56,1.008
108,reference,2000-08-05,30,58,0.944
108,reference,2000-09-14,32,64,1.333
108,reference,2000-09-30,33,66,0.923
108,reference,2000-10-14,34,68,0.933
108,reference,2000-10-28,35,70,0.754
108,reference,2000-11-12,36,72,0.759
108,reference,2000-11-25,37,74,0.658
110,reference,1999-08-03,1,5,1.151
110,reference,1999-08-13,2,7,1.216
110,reference,1999-08-25,3,8,1.281
110,reference,1999-09-02,4,10,0.75
110,reference,1999-11-01,9,18,0.913
110,reference,1999-11-11,10,20,0.839
110,reference,1999-11-21,11,21,0.953
110,reference,1999-11-30,12,22,0.923
110,reference,1999-12-13,13,24,0.697
110,reference,1999-12-25,14,26,0.498
110,reference,2000-01-09,15,28,0.512
110,reference,2000-01-22,16,30,0.794
110,reference,2000-02-05,17,32,0.627
110,reference,2000-02-20,18,34,0.388
110,reference,2000-03-04,19,36,0.553
110,reference,2000-03-18,20,38,1.079
110,reference,2000-04-03,21,40,0.662
110,reference,2000-04-16,22,42,0.881
110,reference,2000-04-29,23,44,0.967
110,reference,2000-05-13,24,46,0.622
110,reference,2000-05-26,25,48,0.909
110,reference,2000-06-09,26,50,1.06
110,reference,2000-06-25,27,52,1.722
110,reference,2000-07-09,28,54,1.23
110,reference,2000-07-23,29,56,1.663
110,reference,2000-08-05,30,58,0.949
110,reference,2000-09-14,32,64,1.19
110,reference,2000-09-30,33,66,1.305
110,reference,2000-10-14,34,68,1.051
110,reference,2000-10-28,35,70,1.126
110,reference,2000-11-12,36,72,0.732
110,reference,2000-11-25,37,74,0.901
112,reference,1999-08-03,1,5,1.391
112,reference,1999-08-13,2,7,0.99
112,reference,1999-08-25,3,8,1.25
112,reference,1999-09-02,4,10,0.664
112,reference,1999-11-01,9,18,0.504
112,reference,1999-11-11,10,20,0.573
112,reference,1999-11-21,11,21,0.839
112,reference,1999-11-30,12,22,0.628
112,reference,1999-12-13,13,24,0.427
112,reference,1999-12-25,14,26,0.647
112,reference,2000-01-09,15,28,0.42
112,reference,2000-01-22,16,30,0.621
112,reference,2000-02-05,17,32,0.545
112,reference,2000-02-20,18,34,0.463
112,reference,2000-03-04,19,36,0.6
112,reference,2000-03-18,20,38,0.609
112,reference,2000-04-03,21,40,0.657
112,reference,2000-04-16,22,42,0.802
112,reference,2000-04-29,23,44,0.647
112,reference,2000-05-13,24,46,0.481
112,reference,2000-05-26,25,48,1
112,reference,2000-06-09,26,50,0.846
112,reference,2000-06-25,27,52,1.161
112,reference,2000-07-09,28,54,0.996
112,reference,2000-07-23,29,56,0.856
112,reference,2000-08-05,30,58,0.815
112,reference,2000-09-14,32,64,0.909
112,reference,2000-09-30,33,66,1.023
112,reference,2000-10-14,34,68,0.857
112,reference,2000-10-28,35,70,0.701
112,reference,2000-11-12,36,72,0.761
112,reference,2000-11-25,37,74,0.804
114,reference,1999-08-03,1,5,1.133
114,reference,1999-08-13,2,7,1.657
114,reference,1999-08-25,3,8,0.85
114,reference,1999-09-02,4,10,0.722
114,reference,1999-11-01,9,18,0.622
114,reference,1999-11-11,10,20,0.83
114,reference,1999-11-21,11,21,0.462
114,reference,1999-11-30,12,22,0.505
114,reference,1999-12-13,13,24,0.89
114,reference,1999-12-25,14,26,0.701
114,reference,2000-01-09,15,28,0.502
114,reference,2000-01-22,16,30,0.891
114,reference,2000-02-05,17,32,0.463
114,reference,2000-02-20,18,34,0.444
114,reference,2000-03-04,19,36,0.776
114,reference,2000-03-18,20,38,0.507
114,reference,2000-04-03,21,40,0.623
114,reference,2000-04-16,22,42,0.709
114,reference,2000-04-29,23,44,0.399
114,reference,2000-05-13,24,46,0.672
114,reference,2000-05-26,25,48,0.873
114,reference,2000-06-09,26,50,1.863
114,reference,2000-06-25,27,52,0.866
114,reference,2000-07-09,28,54,1.71
114,reference,2000-07-23,29,56,1.043
114,reference,2000-08-05,30,58,0.882
114,reference,2000-09-14,32,64,0.907
114,reference,2000-09-30,33,66,0.895
114,reference,2000-10-14,34,68,0.563
114,reference,2000-10-28,35,70,0.925
114,reference,2000-11-12,36,72,0.598
114,reference,2000-11-25,37,74,0.763
116,reference,1999-08-03,1,5,0.718
116,reference,1999-08-13,2,7,1.694
116,reference,1999-08-25,3,8,1.071
116,reference,1999-09-02,4,10,0.986
116,reference,1999-11-01,9,18,1.142
116,reference,1999-11-11,10,20,0.794
116,reference,1999-11-21,11,21,0.516
116,reference,1999-11-30,12,22,0.659
116,reference,1999-12-13,13,24,1.124
116,reference,1999-12-25,14,26,0.559
116,reference,2000-01-09,15,28,0.706
116,reference,2000-01-22,16,30,0.712
116,reference,2000-02-05,17,32,0.493
116,reference,2000-02-20,18,34,0.529
116,reference,2000-03-04,19,36,0.635
116,reference,2000-03-18,20,38,0.744
116,reference,2000-04-03,21,40,0.792
116,reference,2000-04-16,22,42,0.529
116,reference,2000-04-29,23,44,0.755
116,reference,2000-05-13,24,46,0.471
116,reference,2000-05-26,25,48,0.946
116,reference,2000-06-09,26,50,1.165
116,reference,2000-06-25,27,52,1.872
116,reference,2000-07-09,28,54,1.649
116,reference,2000-07-23,29,56,1.546
116,reference,2000-08-05,30,58,1.046
116,reference,2000-09-14,32,64,0.939
116,reference,2000-09-30,33,66,0.7
116,reference,2000-10-14,34,68,0.67
116,reference,2000-10-28,35,70,0.716
116,reference,2000-11-12,36,72,0.8
116,reference,2000-11-25,37,74,0.732
118,reference,1999-08-03,1,5,0.742
118,reference,1999-08-13,2,7,0.991
118,reference,1999-08-25,3,8,0.694
118,reference,1999-09-02,4,10,0.789
118,reference,1999-11-01,9,18,1.068
118,reference,1999-11-11,10,20,0.694
118,reference,1999-11-21,11,21,0.66
118,reference,1999-11-30,12,22,0.387
118,reference,1999-12-13,13,24,0.483
118,reference,1999-12-25,14,26,0.464
118,reference,2000-01-09,15,28,0.602
118,reference,2000-01-22,16,30,0.559
118,reference,2000-02-05,17,32,0.465
118,reference,2000-02-20,18,34,0.393
118,reference,2000-03-04,19,36,1.152
118,reference,2000-03-18,20,38,0.657
118,reference,2000-04-03,21,40,0.349
118,reference,2000-04-16,22,42,0.9
118,reference,2000-04-29,23,44,0.999
118,reference,2000-05-13,24,46,0.754
118,reference,2000-05-26,25,48,0.673
118,reference,2000-06-09,26,50,0.907
118,reference,2000-06-25,27,52,1.403
118,reference,2000-07-09,28,54,1.391
118,reference,2000-07-23,29,56,1.133
118,reference,2000-08-05,30,58,0.922
118,reference,2000-09-14,32,64,0.751
118,reference,2000-09-30,33,66,0.845
118,reference,2000-10-14,34,68,0.667
118,reference,2000-10-28,35,70,0.587
118,reference,2000-11-12,36,72,0.703
118,reference,2000-11-25,37,74,1.074
120,reference,1999-08-03,1,5,1.153
120,reference,1999-08-13,2,7,1.512
120,reference,1999-08-25,3,8,0.877
120,reference,1999-09-02,4,10,0.853
120,reference,1999-11-01,9,18,1.129
120,reference,1999-11-11,10,20,0.431
120,reference,1999-11-21,11,21,0.682
120,reference,1999-11-30,12,22,0.965
120,reference,1999-12-13,13,24,0.569
120,reference,1999-12-25,14,26,0.446
120,reference,2000-01-09,15,28,0.319
120,reference,2000-01-22,16,30,0.669
120,reference,2000-02-05,17,32,0.571
120,reference,2000-02-20,18,34,0.524
120,reference,2000-03-04,19,36,0.309
120,reference,2000-03-18,20,38,0.414
120,reference,2000-04-03,21,40,0.794
120,reference,2000-04-16,22,42,0.925
120,reference,2000-04-29,23,44,1.002
120,reference,2000-05-13,24,46,1.035
120,reference,2000-05-26,25,48,1.154
120,reference,2000-06-09,26,50,1.011
120,reference,2000-06-25,27,52,1.44
120,reference,2000-07-09,28,54,1.067
120,reference,2000-07-23,29,56,0.979
120,reference,2000-08-05,30,58,0.996
120,reference,2000-09-14,32,64,1.509
120,reference,2000-09-30,33,66,0.748
120,reference,2000-10-14,34,68,0.826
120,reference,2000-10-28,35,70,0.793
120,reference,2000-11-12,36,72,0.555
120,reference,2000-11-25,37,74,0.909
122,reference,1999-08-03,1,5,1.044
122,reference,1999-08-13,2,7,0.794
122,reference,1999-08-25,3,8,0.862
122,reference,1999-09-02,4,10,0.542
122,reference,1999-11-01,9,18,0.515
122,reference,1999-11-11,10,20,0.706
122,reference,1999-11-21,11,21,0.586
122,reference,1999-11-30,12,22,0.355
122,reference,1999-12-13,13,24,0.36
122,reference,1999-12-25,14,26,0.224
122,reference,2000-01-09,15,28,0.471
122,reference,2000-01-22,16,30,0.468
122,reference,2000-02-05,17,32,0.269
122,reference,2000-02-20,18,34,0.278
122,reference,2000-03-04,19,36,0.616
122,reference,2000-03-18,20,38,0.423
122,reference,2000-04-03,21,40,0.457
122,reference,2000-04-16,22,42,0.538
122,reference,2000-04-29,23,44,0.741
122,reference,2000-05-13,24,46,0.489
122,reference,2000-05-26,25,48,0.935
122,reference,2000-06-09,26,50,1.134
122,reference,2000-06-25,27,52,0.616
122,reference,2000-07-09,28,54,0.891
122,reference,2000-07-23,29,56,0.745
122,reference,2000-08-05,30,58,0.75
122,reference,2000-09-14,32,64,1.123
122,reference,2000-09-30,33,66,0.454
122,reference,2000-10-14,34,68,0.687
122,reference,2000-10-28,35,70,0.548
122,reference,2000-11-12,36,72,0.593
122,reference,2000-11-25,37,74,0.632
124,reference,1999-08-03,1,5,1.008
124,reference,1999-08-13,2,7,1.292
124,reference,1999-08-25,3,8,0.762
124,reference,1999-09-02,4,10,0.552
124,reference,1999-11-01,9,18,0.909
124,reference,1999-11-11,10,20,0.65
124,reference,1999-11-21,11,21,0.659
124,reference,1999-11-30,12,22,0.637
124,reference,1999-12-13,13,24,0.357
124,reference,1999-12-25,14,26,0.408
124,reference,2000-01-09,15,28,0.41
124,reference,2000-01-22,16,30,0.564
124,reference,2000-02-05,17,32,0.457
124,reference,2000-02-20,18,34,0.42
124,reference,2000-03-04,19,36,0.576
124,reference,2000-03-18,20,38,0.506
124,reference,2000-04-03,21,40,0.481
124,reference,2000-04-16,22,42,0.477
124,reference,2000-04-29,23,44,1.027
124,reference,2000-05-13,24,46,0.603
124,reference,2000-05-26,25,48,0.999
124,reference,2000-06-09,26,50,1.363
124,reference,2000-06-25,27,52,1.036
124,reference,2000-07-09,28,54,1.003
124,reference,2000-07-23,29,56,0.969
124,reference,2000-08-05,30,58,0.737
124,reference,2000-09-14,32,64,1.015
124,reference,2000-09-30,33,66,0.875
124,reference,2000-10-14,34,68,0.544
